prediction_date,actual_date,predicted_close,actual_close,excluded_states,triggered_excluded_states,actual_state,predicted_gap,actual_gap,predicted_intraday,actual_intraday,predicted_volume,actual_volume,open_correct,path_correct,close_state_correct,five_state_correct,exclusion_correct,forced_exclusion_correct,score,error_type,review_summary
2017-04-20,2017-04-21,收涨,震荡,"['大跌', '大涨']",[],震荡,平开,平开,高走,震荡,正常,缩量,True,False,False,False,True,True,40,close_direction_error,预测收盘✗(收涨→震荡) 开盘✓(平开→平开) 日内✗(高走→震荡) 成交量✗(正常→缩量) 得分=40
2017-04-21,2017-04-24,收涨,收涨,"['大跌', '大涨']",[],小涨,平开,高开,低走,震荡,缩量,正常,False,False,True,False,True,True,40,gap_error,预测收盘✓(收涨→收涨) 开盘✗(平开→高开) 日内✗(低走→震荡) 成交量✗(缩量→正常) 得分=40
2017-04-24,2017-04-25,震荡,收涨,"['大涨', '大跌']",[],小涨,平开,平开,高走,高走,缩量,正常,True,True,False,False,True,True,60,close_direction_error,预测收盘✗(震荡→收涨) 开盘✓(平开→平开) 日内✓(高走→高走) 成交量✗(缩量→正常) 得分=60
2017-04-25,2017-04-26,震荡,收跌,"['大涨', '大跌']",[],小跌,平开,平开,高走,低走,缩量,正常,True,False,False,False,True,True,40,close_direction_error,预测收盘✗(震荡→收跌) 开盘✓(平开→平开) 日内✗(高走→低走) 成交量✗(缩量→正常) 得分=40
2017-04-26,2017-04-27,收涨,收涨,"['大跌', '大涨']",[],小涨,平开,高开,低走,震荡,缩量,缩量,False,False,True,False,True,True,60,gap_error,预测收盘✓(收涨→收涨) 开盘✗(平开→高开) 日内✗(低走→震荡) 成交量✓(缩量→缩量) 得分=60
2017-04-27,2017-04-28,震荡,收跌,"['大涨', '大跌']",[],小跌,平开,平开,高走,低走,缩量,正常,True,False,False,False,True,True,40,close_direction_error,预测收盘✗(震荡→收跌) 开盘✓(平开→平开) 日内✗(高走→低走) 成交量✗(缩量→正常) 得分=40
2017-04-28,2017-05-01,收涨,震荡,"['大跌', '大涨']",[],震荡,平开,高开,低走,低走,缩量,正常,False,True,False,False,True,True,40,direction_and_gap_error,预测收盘✗(收涨→震荡) 开盘✗(平开→高开) 日内✓(低走→低走) 成交量✗(缩量→正常) 得分=40
2017-05-01,2017-05-02,震荡,收涨,"['大涨', '大跌']",[],小涨,平开,高开,低走,震荡,缩量,放量,False,False,False,False,True,True,20,direction_and_gap_error,预测收盘✗(震荡→收涨) 开盘✗(平开→高开) 日内✗(低走→震荡) 成交量✗(缩量→放量) 得分=20
2017-05-02,2017-05-03,收涨,震荡,"['大跌', '大涨']",[],震荡,平开,平开,震荡,高走,正常,正常,True,False,False,False,True,True,60,close_direction_error,预测收盘✗(收涨→震荡) 开盘✓(平开→平开) 日内✗(震荡→高走) 成交量✓(正常→正常) 得分=60
2017-05-03,2017-05-04,震荡,收跌,"['大跌', '大涨']",[],小跌,平开,平开,高走,低走,缩量,正常,True,False,False,False,True,True,40,close_direction_error,预测收盘✗(震荡→收跌) 开盘✓(平开→平开) 日内✗(高走→低走) 成交量✗(缩量→正常) 得分=40
