Date,Open,High,Low,Close,Volume,PrevClose,MA20_Volume,O_gap,H_up,L_down,C_move,V_ratio,O_code,H_code,L_code,C_code,V_code,Code
2016-05-18,105.23999786376952,106.43000030517578,105.04000091552734,105.86000061035156,27524400,,,,0.0113075110752728,0.0019003891324766,0.0058913223029957,,,2,1,4,,
2016-05-19,105.4499969482422,105.70999908447266,104.54000091552734,105.30999755859376,27334600,105.86000061035156,,-0.003873074435532,0.0024656438478426,0.0086296449412085,-0.0013276376832628,,3,1,2,3,,
2016-05-20,105.7300033569336,106.9000015258789,105.66999816894533,106.47000122070312,29549600,105.30999755859376,,0.0039882803919555,0.0110659049635657,0.0005675322622065,0.0069989391873125,,3,2,1,4,,
2016-05-23,106.58999633789062,106.97000122070312,106.2300033569336,106.33000183105467,15729800,106.47000122070312,,0.00112703217631,0.0035651083203707,0.0033773617912121,-0.0024392017615965,,3,1,1,3,,
2016-05-24,106.91999816894533,108.58999633789062,106.88999938964844,108.45999908447266,29931300,106.33000183105467,,0.0055487287475841,0.0156191376500635,0.0002805722017455,0.0144033009904654,,4,3,1,4,,
2016-05-25,108.87000274658205,109.56999969482422,108.68000030517578,109.23999786376952,37951700,108.45999908447266,,0.0037802292602829,0.006429658588983,0.0017452230790196,0.0033985037921668,,3,2,1,3,,
2016-05-26,109.3499984741211,109.6999969482422,109.08999633789062,109.55999755859376,21885900,109.23999786376952,,0.001006962765495,0.0032007176863741,0.0023777058971976,0.0019204306118245,,3,1,1,3,,
2016-05-27,109.62999725341795,110.13999938964844,109.61000061035156,110.12999725341795,19870000,109.55999755859376,,0.0006389165423881,0.0046520309131411,0.0001824012001037,0.0045607955169807,,3,1,1,3,,
2016-05-31,110.27999877929688,110.51000213623048,109.77999877929688,110.33999633789062,24366100,110.12999725341795,,0.0013620405849439,0.0020856307533509,0.0045339137244701,0.0005440475086858,,3,1,1,3,,
2016-06-01,110.0,110.5999984741211,109.91000366210938,110.3499984741211,19571500,110.33999633789062,,-0.0030813517235351,0.005454531582919,0.0008181485262784,0.0031818043101917,,3,2,1,3,,
2016-06-02,110.12999725341795,110.58999633789062,109.52999877929688,110.58000183105467,15696600,110.3499984741211,,-0.0019936676370207,0.0041768736579024,0.0054480930635132,0.0040861217548314,,3,1,2,3,,
2016-06-03,110.37000274658205,110.41999816894533,109.33999633789062,110.05999755859376,20269900,110.58000183105467,,-0.0018990692801169,0.0004529801677913,0.009332303914646,-0.002808781193021,,3,1,2,3,,
2016-06-06,110.26000213623048,110.75,110.06999969482422,110.45999908447266,12502400,110.05999755859376,,0.0018172322557997,0.0044440218962095,0.0017232218186564,0.0018138667183687,,3,1,1,3,,
2016-06-07,110.5199966430664,110.62999725341795,110.12999725341795,110.18000030517578,12184300,110.45999908447266,,0.0005431609550156,0.0009953005220114,0.0035287676573859,-0.0030763332267252,,3,1,1,3,,
2016-06-08,110.37000274658205,110.5999984741211,109.95999908447266,110.37000274658205,14568700,110.18000030517578,,0.0017244730520965,0.0020838608481974,0.0037148106542208,0.0,,3,1,1,3,,
2016-06-09,109.91999816894533,110.30999755859376,109.70999908447266,110.19000244140624,17571600,110.37000274658205,,-0.004077236263824,0.0035480294409122,0.0019104720521365,0.0024563707874695,,3,1,1,3,,
2016-06-10,109.19000244140624,109.4000015258789,108.55999755859376,108.94000244140624,32965000,110.19000244140624,,-0.0090752334861935,0.0019232446174306,0.0057698037249385,-0.0022895869073192,,2,1,2,3,,
2016-06-13,108.31999969482422,108.93000030517578,107.88999938964844,108.02999877929688,25154700,108.94000244140624,,-0.0056912312528677,0.0056314679843994,0.0039697221786119,-0.0026772610445382,,2,2,1,3,,
2016-06-14,107.73999786376952,108.41999816894533,107.23999786376952,108.02999877929688,24588500,108.02999877929688,,-0.0026844480126286,0.0063114935832431,0.0046408020225897,0.0026916736706645,,3,2,1,3,,
2016-06-15,108.29000091552734,108.44000244140624,107.54000091552734,107.72000122070312,24605700,108.02999877929688,,0.0024067586704471,0.0013851835313576,0.0069258472034278,-0.0052636410564706,,3,1,2,2,,
2016-06-16,107.19000244140624,108.13999938964844,106.5,108.04000091552734,32079900,107.72000122070312,22691115.0,-0.0049201519986153,0.0088627383767576,0.0064371902760559,0.0079298297859984,1.4137648149947677,3,2,2,4,4,32244
2016-06-17,107.52999877929688,107.68000030517578,106.23999786376952,106.48999786376952,29208800,108.04000091552734,22918890.0,-0.0047204936311433,0.0013949737522715,0.0119966607474353,-0.0096717281440869,1.2744421741192526,3,1,2,2,4,31224
2016-06-20,107.7300033569336,108.23999786376952,107.08000183105467,107.16000366210938,20562800,106.48999786376952,23012600.0,0.0116443376658753,0.0047340062280161,0.0060336165007376,-0.0052910022933507,0.893545275197066,4,1,2,2,2,41222
2016-06-21,107.3000030517578,107.72000122070312,107.0999984741211,107.5,22804100,107.16000366210938,22563260.0,0.0013064518930949,0.0039142419105312,0.0018639755074399,0.0018639044040448,1.010673989485562,3,1,1,3,3,31133
2016-06-22,107.55999755859376,108.19000244140624,107.1500015258789,107.23999786376952,22724200,107.5,22916975.0,0.000558116824128,0.0058572415127591,0.0038117891597339,-0.0029750809044963,0.9915881131781136,3,2,1,3,3,32133
2016-06-23,108.06999969482422,108.79000091552734,107.62000274658205,108.7699966430664,18714200,107.23999786376952,22556620.0,0.0077396666130959,0.0066623597921376,0.0041639395716934,0.0064772550219199,0.8296544429085564,4,2,1,4,2,42142
2016-06-24,104.9000015258789,106.5,104.05999755859376,104.29000091552734,68012700,108.7699966430664,21594745.0,-0.0355796197170719,0.0152526067764295,0.0080076640139791,-0.0058150676976022,3.1495023442045738,1,3,2,2,5,13225
2016-06-27,103.5999984741211,103.5999984741211,101.75,102.22000122070312,48222600,104.29000091552734,23901085.0,-0.0066161898106141,0.0,0.0178571283915917,-0.0133204370052446,2.0175904148284483,2,1,3,2,5,21325
2016-06-28,103.3499984741211,104.51000213623048,103.3000030517578,104.45999908447266,28260600,102.22000122070312,25318715.0,0.0110545611418864,0.0112240317294233,0.0004837486511992,0.0107402092572793,1.1161940880490973,4,2,1,4,4,42144
2016-06-29,105.27999877929688,106.52999877929688,105.2300033569336,106.30999755859376,31356700,104.45999908447266,25513440.0,0.0078498918438733,0.0118731004416178,0.0004748805370722,0.0097834231690686,1.2290267404160318,4,2,1,4,4,42144
2016-06-30,106.48999786376952,107.61000061035156,106.12999725341795,107.54000091552734,36300800,106.30999755859376,26102700.0,0.0016931644182998,0.0105174454789157,0.003380604916643,0.0098601096142482,1.3906913844161717,3,2,1,4,4,32144
2016-07-01,107.48999786376952,108.4800033569336,107.4499969482422,108.08000183105467,19902800,107.54000091552734,27132910.0,-0.0004649716508474,0.009210210371562,0.0003721361645016,0.0054889197042585,0.7335298720262589,3,2,1,4,2,32142
