Date,Open,High,Low,Close,Volume,PrevClose,MA20_Volume,O_gap,H_up,L_down,C_move,V_ratio,O_code,H_code,L_code,C_code,V_code,Code
2016-05-18,14.053000450134276,14.505000114440918,14.032999992370604,14.387999534606934,22620000,,,,0.0321639258399314,0.0014232161903531,0.0238382604242681,,,4,1,5,,
2016-05-19,14.303000450134276,14.465999603271484,14.112000465393066,14.27400016784668,17478000,14.387999534606934,,-0.0059076374216035,0.0113961510177872,0.0133538403642723,-0.0020275663409717,,2,2,2,3,,
2016-05-20,14.413000106811523,14.767000198364258,14.371000289916992,14.67300033569336,25889000,14.27400016784668,,0.0097379807573459,0.0245611662339081,0.0029140232139929,0.0180392858499293,,4,3,1,4,,
2016-05-23,14.819000244140623,15.034000396728516,14.788000106811523,14.8100004196167,17609000,14.67300033569336,,0.0099502422890365,0.0145084114343612,0.0020919182683296,-0.0006073165784231,,4,2,1,3,,
2016-05-24,14.859999656677246,15.16800022125244,14.835000038146973,15.142000198364258,19907000,14.8100004196167,,0.0033760456207901,0.0207268217827175,0.0016823431431938,0.0189771566757941,,3,3,1,4,,
2016-05-25,15.184000015258787,15.399999618530272,15.048999786376951,15.357000350952148,21737000,15.142000198364258,,0.0027737297810276,0.0142254743845113,0.008890952894242,0.0113935942781552,,3,2,2,4,,
2016-05-26,15.376999855041504,15.425000190734863,15.182000160217283,15.302000045776367,18431000,15.357000350952148,,0.0013023053742468,0.0031215670251581,0.0126812575055262,-0.0048774019621615,,3,1,2,3,,
2016-05-27,15.300000190734863,15.392999649047852,15.246000289916992,15.329999923706056,18693000,15.302000045776367,,-0.0001306923954725,0.0060783958923938,0.003529405238215,0.0019607668364187,,3,2,1,3,,
2016-05-31,15.399999618530272,15.494999885559082,15.329999923706056,15.435999870300291,32058000,15.329999923706056,,0.0045661901612907,0.0061688486611713,0.004545434841439,0.0023376787442709,,3,2,1,3,,
2016-06-01,15.340999603271484,15.531999588012695,15.333999633789062,15.47700023651123,30777000,15.435999870300291,,-0.006154461507323,0.0124502959181668,0.000456291614852,0.0088651741579306,,2,2,1,4,,
