Date,Open,High,Low,Close,Volume,PrevClose,MA20_Volume,O_gap,H_up,L_down,C_move,V_ratio,O_code,H_code,L_code,C_code,V_code,Code
2016-05-18,1.0499999523162842,1.096250057220459,1.0499999523162842,1.0839999914169312,541072000,,,,0.0440477209566988,0.0,0.0323809910901837,,,4,1,5,,
2016-05-19,1.0797499418258667,1.096500039100647,1.0782500505447388,1.0887500047683716,398880000,1.0839999914169312,,-0.0039207099859005,0.015512941122697,0.0013891098512972,0.0083353215349895,,3,3,1,4,,
2016-05-20,1.0954999923706057,1.1127500534057615,1.09375,1.1082500219345093,391084000,1.0887500047683716,,0.0061997589645661,0.0157462904201647,0.0015974371362785,0.0116385482909161,,4,3,1,4,,
2016-05-23,1.1130000352859497,1.1172499656677246,1.1032500267028809,1.1100000143051147,413636000,1.1082500219345093,,0.0042860485065897,0.0038184458643642,0.0087601152506377,-0.002695436555008,,3,1,2,3,,
2016-05-24,1.1104999780654907,1.1375000476837158,1.1074999570846558,1.133999943733215,415788000,1.1100000143051147,,0.0004504177963357,0.0243134355259147,0.002701504763702,0.0211616084033263,,3,3,1,5,,
2016-05-25,1.1375000476837158,1.1422499418258667,1.1202499866485596,1.1292500495910645,458076000,1.133999943733215,,0.003086511573341,0.0041757309389331,0.015164888186407,-0.0072527452719239,,3,1,3,2,,
2016-05-26,1.131250023841858,1.149500012397766,1.128000020980835,1.1412500143051147,309964000,1.1292500495910645,,0.0017710641248301,0.0161325862287532,0.0028729306453276,0.0088397703889505,,3,3,1,4,,
2016-05-27,1.1425000429153442,1.149250030517578,1.1387499570846558,1.1475000381469729,277416000,1.1412500143051147,,0.0010953153073917,0.0059080852067274,0.0032823507131949,0.0043763632768625,,3,2,1,3,,
2016-05-31,1.152500033378601,1.1705000400543213,1.1517499685287476,1.1679999828338623,412524000,1.1475000381469729,,0.0043572941746497,0.0156182265981827,0.0006508154690934,0.0134489796150569,,3,3,1,4,,
2016-06-01,1.162500023841858,1.18149995803833,1.159000039100647,1.1702500581741333,387132000,1.1679999828338623,,-0.0047088690692101,0.0163440290811184,0.0030107395005843,0.0066666960630786,,3,3,1,4,,
2016-06-02,1.1764999628067017,1.1885000467300415,1.1649999618530271,1.178500056266785,329208000,1.1702500581741333,,0.0053406573995985,0.0101998166618824,0.0097747567507267,0.0017000369938913,,4,2,2,3,,
2016-06-03,1.1670000553131104,1.1684999465942385,1.1414999961853027,1.1619999408721924,461076000,1.178500056266785,,-0.0097581675049756,0.0012852538217967,0.0218509493737477,-0.0042845880067901,,2,1,3,3,,
2016-06-06,1.1649999618530271,1.1740000247955322,1.149999976158142,1.156000018119812,322512000,1.1619999408721924,,0.0025817737809719,0.0077253761692745,0.0128755246232165,-0.0077252738437003,,3,2,2,2,,
2016-06-07,1.162999987602234,1.1694999933242798,1.1577500104904177,1.1582499742507937,193400000,1.156000018119812,,0.0060553368275956,0.0055889989607366,0.0045141678140859,-0.0040842763560415,,4,2,1,3,,
2016-06-08,1.1584999561309814,1.162750005722046,1.1449999809265137,1.1545000076293943,234616000,1.1582499742507937,,0.0002158272270625,0.0036685798463542,0.0116529786065364,-0.0034526962909396,,3,1,2,3,,
2016-06-09,1.1505000591278076,1.1862499713897705,1.1480000019073486,1.184499979019165,472168000,1.1545000076293943,,-0.0034646587052,0.0310733684699371,0.0021730178982817,0.0295522973872184,,3,4,1,5,,
2016-06-10,1.1705000400543213,1.180999994277954,1.153499960899353,1.1549999713897705,400024000,1.184499979019165,,-0.0118192817330706,0.0089704860011329,0.0145237749450904,-0.0132422623956778,,2,2,2,2,,
2016-06-13,1.15625,1.1924999952316284,1.15625,1.1697499752044678,475588000,1.1549999713897705,,0.0010822758798213,0.0313513472273543,0.0,0.011675654230891,,3,4,1,4,,
2016-06-14,1.1670000553131104,1.1775000095367432,1.1540000438690186,1.1720000505447388,298344000,1.1697499752044678,,-0.0023508612521036,0.0089973896537782,0.0111396836571733,0.0042844858565896,,3,2,2,3,,
