Date,Open,High,Low,Close,Volume,PrevClose,MA20_Volume,O_gap,H_up,L_down,C_move,V_ratio,O_code,H_code,L_code,C_code,V_code,Code
2016-05-18,28.760000228881836,29.583332061767575,28.760000228881836,29.329999923706055,2003400,,,,0.0286276712911468,0.0,0.0198191825552144,,,3,1,4,,
2016-05-19,29.13999938964844,29.38666725158691,28.913333892822266,29.166667938232425,1394700,29.329999923706055,,-0.0064780270900732,0.0084649233735431,0.0077785003971789,0.0009151869987155,,2,2,2,3,,
2016-05-20,29.520000457763672,30.079999923706055,29.516666412353516,30.049999237060547,1679400,29.166667938232425,,0.0121142572843601,0.0189701713163457,0.0001129419159368,0.0179538879091543,,4,3,1,4,,
2016-05-23,30.25,30.530000686645508,30.25,30.260000228881836,735900,30.049999237060547,,0.0066555996012403,0.0092562210461324,0.0,0.0003305860787383,,4,2,1,3,,
2016-05-24,30.510000228881836,31.02666664123535,30.47333335876465,30.989999771118164,1587600,30.260000228881836,,0.0082617315964652,0.0169343300058195,0.0012017984215705,0.015732531584249,,4,3,1,4,,
2016-05-25,31.18000030517578,31.25666618347168,30.933332443237305,31.17333221435547,1248600,30.989999771118164,,0.0061310272817327,0.0024588158289136,0.0079110923516421,-0.0002138579459604,,4,1,2,3,,
2016-05-26,31.219999313354492,31.350000381469727,31.143333435058594,31.27666664123535,912300,31.17333221435547,,0.0014970199104198,0.0041640317416543,0.0024556655984007,0.0018150970252142,,3,1,1,3,,
2016-05-27,31.25,31.52666664123535,31.25,31.47333335876465,861600,31.27666664123535,,-0.0008526049639891,0.0088533325195312,0.0,0.0071466674804687,,3,2,1,4,,
2016-05-31,31.53333282470703,31.68666648864746,31.446666717529297,31.656667709350582,2144400,31.47333335876465,,0.0019063587977304,0.0048625898439853,0.0027483966778744,0.0039112543329678,,3,1,1,3,,
2016-06-01,31.6299991607666,31.86333274841309,31.50666618347168,31.823333740234375,1314300,31.656667709350582,,-0.0008424306951329,0.0073769710350138,0.0038992406123077,0.0061123801643214,,3,2,1,4,,
2016-06-02,31.766666412353516,31.829999923706055,31.62666702270508,31.829999923706055,740700,31.823333740234375,,-0.0017806848378432,0.0019937097122633,0.004407116183711,0.0019937097122633,,3,1,1,3,,
2016-06-03,32.106666564941406,32.12333297729492,31.73666763305664,31.92333221435547,1316100,31.829999923706055,,0.0086920088563776,0.0005190950707948,0.0115240531475411,-0.0057101645919893,,4,1,2,2,,
2016-06-06,31.94333267211914,32.11333465576172,31.796667098999023,31.850000381469727,1886100,31.92333221435547,,0.0006265153533902,0.0053219864498033,0.0045914299120119,-0.0029218081784834,,3,2,1,3,,
2016-06-07,31.98666763305664,32.21666717529297,31.983333587646484,32.1533317565918,1399200,31.850000381469727,,0.0042909654615397,0.0071904815116981,0.0001042323460637,0.0052104247134176,,3,2,1,4,,
2016-06-08,32.1533317565918,32.223331451416016,32.040000915527344,32.13999938964844,418800,32.1533317565918,,0.0,0.0021770588302989,0.0035246997705368,-0.0004146496246264,,3,1,1,3,,
2016-06-09,31.933332443237305,32.19333267211914,31.823333740234375,32.176666259765625,1087200,32.13999938964844,,-0.006430210029117,0.0081419698161473,0.0034446358894254,0.0076200570974186,,2,2,1,4,,
2016-06-10,31.850000381469727,31.850000381469727,31.536666870117188,31.649999618530273,1038900,32.176666259765625,,-0.0101522598910244,0.0,0.0098377867378248,-0.0062794587297968,,2,1,2,2,,
2016-06-13,31.446666717529297,31.836666107177734,31.420000076293945,31.48666763305664,1664400,31.649999618530273,,-0.0064244203302274,0.0124019309630371,0.0008479957979294,0.001272024023616,,2,2,1,3,,
2016-06-14,31.38333320617676,31.559999465942383,31.176666259765625,31.476667404174805,1265700,31.48666763305664,,-0.0032818470371057,0.0056293019802896,0.0065852452654857,0.0029740052589338,,3,2,2,3,,
2016-06-15,31.63666725158691,31.690000534057617,31.420000076293945,31.47333335876465,706500,31.476667404174805,,0.0050831253943638,0.0016858059683271,0.00684860935477,-0.0051628033864429,,4,1,2,2,,
2016-06-16,31.163333892822266,31.489999771118164,30.93000030517578,31.469999313354492,4066500,31.47333335876465,1270290.0,-0.0098495911573362,0.0104823790490252,0.0074874398371166,0.0098405845018674,3.2012375126939516,2,2,2,4,5,22245
2016-06-17,31.420000076293945,31.420000076293945,30.976667404174805,31.203332901000977,1817700,31.469999313354492,1373445.0,-0.0015887905354776,0.0,0.0141098876843616,-0.0068958362433754,1.323460349704575,3,1,2,2,4,31224
2016-06-20,31.656667709350582,31.926666259765625,31.53333282470703,31.549999237060547,1106100,31.203332901000977,1394595.0,0.0145284098268574,0.0085289630890395,0.0038960160234149,-0.0033695420272718,0.7931334903681714,4,2,1,3,2,42132
2016-06-21,31.583332061767575,31.643333435058594,31.43666648864746,31.549999237060547,966600,31.549999237060547,1365930.0,0.0010565079401926,0.0018997797057534,0.0046437650350912,-0.001055392909204,0.7076497331488436,3,1,1,3,2,31132
2016-06-22,31.59666633605957,31.85333251953125,31.483333587646484,31.520000457763672,918900,31.549999237060547,1377465.0,0.0014791473891449,0.0081232045413208,0.0035868577782126,-0.0024263913629522,0.6670949897093574,3,2,1,3,1,32131
2016-06-23,31.933332443237305,32.34333419799805,31.836666107177734,32.30666732788086,1099200,31.520000457763672,1344030.0,0.0131133242217902,0.0128393037428691,0.0030271296060753,0.0116910718700333,0.817838887524832,4,2,1,4,2,42142
2016-06-24,30.940000534057617,31.43666648864746,30.43666648864746,30.553333282470703,2657100,32.30666732788086,1336560.0,-0.0423029333218719,0.0160525515842552,0.0162680684137708,-0.0124973253042217,1.9880140061052256,1,3,3,2,5,13325
2016-06-27,30.13666725158691,30.13999938964844,29.11333274841309,29.31333351135254,5307000,30.553333282470703,1423800.0,-0.0136373346577816,0.0001105675698547,0.0339564589087048,-0.0273199996987396,3.727349346818374,2,1,4,1,5,21415
2016-06-28,29.770000457763672,30.13999938964844,29.690000534057617,30.079999923706055,2741700,29.31333351135254,1646070.0,0.0155788131784559,0.0124285833454959,0.0026872664587141,0.0104131495188317,1.665603528404017,4,2,1,4,5,42145
2016-06-29,30.433332443237305,30.77666664123535,30.323333740234375,30.68666648864746,2353800,30.079999923706055,1675935.0,0.0117464268759119,0.0112815183364627,0.0036144153193901,0.0083242295559535,1.4044697437549785,4,2,1,4,4,42144
2016-06-30,30.726667404174805,31.246667861938477,30.666667938232425,31.213333129882812,1577400,30.68666648864746,1727910.0,0.0013035275611361,0.0169234252098885,0.0019526838089257,0.015838545694086,0.9128947688247652,3,3,1,4,3,33143
2016-07-01,30.976667404174805,31.06333351135254,30.893333435058594,30.956666946411133,1338000,31.213333129882812,1769745.0,-0.0075821997196906,0.0027977866710753,0.0026902173829383,-0.0006456620237003,0.7560411245687938,2,1,1,3,2,21132
2016-07-05,30.713333129882812,30.713333129882812,30.206666946411133,30.38999938964844,2583300,30.956666946411133,1770840.0,-0.0078604656292472,0.0,0.0164966199314497,-0.010527471533846,1.458799213932371,2,1,3,2,4,21324
2016-07-06,30.170000076293945,30.479999542236328,29.87666702270508,30.43000030517578,1725300,30.38999938964844,1805700.0,-0.0072392009796957,0.0102750899953084,0.0097226732796513,0.0086178398483376,0.9554743312842664,2,2,2,4,3,22243
2016-07-07,30.476667404174805,31.02666664123535,30.476667404174805,30.799999237060547,1184100,30.43000030517578,1822005.0,0.0015335885156427,0.0180465675517135,0.0,0.0106091597417062,0.6498884470679279,3,3,1,4,1,33141
