Date,Open,High,Low,Close,Volume,PrevClose,MA20_Volume,O_gap,H_up,L_down,C_move,V_ratio
2016-05-18,28.760000228881836,29.583332061767575,28.760000228881836,29.329999923706055,2003400,,,,0.028627671291146895,0.0,0.01981918255521446,
2016-05-19,29.13999938964844,29.38666725158691,28.913333892822266,29.166667938232425,1394700,29.329999923706055,,-0.006478027090073232,0.008464923373543192,0.007778500397178973,0.0009151869987155177,
2016-05-20,29.520000457763672,30.079999923706055,29.516666412353516,30.049999237060547,1679400,29.166667938232425,,0.012114257284360172,0.018970171316345784,0.00011294191593684091,0.017953887909154382,
2016-05-23,30.25,30.530000686645508,30.25,30.260000228881836,735900,30.049999237060547,,0.006655599601240354,0.00925622104613249,0.0,0.0003305860787383781,
2016-05-24,30.510000228881836,31.02666664123535,30.47333335876465,30.989999771118164,1587600,30.260000228881836,,0.008261731596465292,0.01693433000581957,0.0012017984215705563,0.015732531584249015,
2016-05-25,31.18000030517578,31.25666618347168,30.933332443237305,31.17333221435547,1248600,30.989999771118164,,0.0061310272817327515,0.002458815828913643,0.007911092351642167,-0.00021385794596049502,
2016-05-26,31.219999313354492,31.350000381469727,31.143333435058594,31.27666664123535,912300,31.17333221435547,,0.0014970199104198754,0.004164031741654326,0.0024556655984007106,0.0018150970252142087,
2016-05-27,31.25,31.52666664123535,31.25,31.47333335876465,861600,31.27666664123535,,-0.0008526049639891643,0.00885333251953125,0.0,0.00714666748046875,
2016-05-31,31.53333282470703,31.68666648864746,31.446666717529297,31.656667709350582,2144400,31.47333335876465,,0.0019063587977304047,0.004862589843985331,0.0027483966778744573,0.0039112543329678,
2016-06-01,31.6299991607666,31.86333274841309,31.50666618347168,31.823333740234375,1314300,31.656667709350582,,-0.0008424306951329436,0.00737697103501386,0.0038992406123077718,0.0061123801643214355,
2016-06-02,31.766666412353516,31.829999923706055,31.62666702270508,31.829999923706055,740700,31.823333740234375,,-0.0017806848378432028,0.001993709712263347,0.004407116183711066,0.001993709712263347,
2016-06-03,32.106666564941406,32.12333297729492,31.73666763305664,31.92333221435547,1316100,31.829999923706055,,0.008692008856377607,0.0005190950707948725,0.0115240531475411,-0.0057101645919893735,
2016-06-06,31.94333267211914,32.11333465576172,31.796667098999023,31.850000381469727,1886100,31.92333221435547,,0.000626515353390269,0.005321986449803332,0.004591429912011974,-0.0029218081784834113,
2016-06-07,31.98666763305664,32.21666717529297,31.983333587646484,32.1533317565918,1399200,31.850000381469727,,0.004290965461539738,0.007190481511698173,0.00010423234606379187,0.005210424713417696,
2016-06-08,32.1533317565918,32.223331451416016,32.040000915527344,32.13999938964844,418800,32.1533317565918,,0.0,0.002177058830298917,0.003524699770536813,-0.00041464962462641494,
2016-06-09,31.933332443237305,32.19333267211914,31.823333740234375,32.176666259765625,1087200,32.13999938964844,,-0.0064302100291170365,0.008141969816147315,0.003444635889425462,0.007620057097418671,
2016-06-10,31.850000381469727,31.850000381469727,31.536666870117188,31.649999618530273,1038900,32.176666259765625,,-0.010152259891024456,0.0,0.009837786737824842,-0.006279458729796851,
2016-06-13,31.446666717529297,31.836666107177734,31.420000076293945,31.48666763305664,1664400,31.649999618530273,,-0.006424420330227438,0.012401930963037185,0.0008479957979294127,0.0012720240236160248,
2016-06-14,31.38333320617676,31.559999465942383,31.176666259765625,31.476667404174805,1265700,31.48666763305664,,-0.0032818470371057122,0.005629301980289671,0.006585245265485722,0.00297400525893386,
2016-06-15,31.63666725158691,31.690000534057617,31.420000076293945,31.47333335876465,706500,31.476667404174805,,0.005083125394363851,0.0016858059683271932,0.0068486093547700435,-0.005162803386442962,
2016-06-16,31.163333892822266,31.489999771118164,30.93000030517578,31.469999313354492,4066500,31.47333335876465,1270290.0,-0.009849591157336203,0.010482379049025244,0.007487439837116632,0.009840584501867422,3.2012375126939516
2016-06-17,31.420000076293945,31.420000076293945,30.976667404174805,31.203332901000977,1817700,31.469999313354492,1373445.0,-0.0015887905354776853,0.0,0.014109887684361605,-0.006895836243375499,1.323460349704575
2016-06-20,31.656667709350582,31.926666259765625,31.53333282470703,31.549999237060547,1106100,31.203332901000977,1394595.0,0.014528409826857413,0.00852896308903959,0.0038960160234149067,-0.0033695420272718195,0.7931334903681714
2016-06-21,31.583332061767575,31.643333435058594,31.43666648864746,31.549999237060547,966600,31.549999237060547,1365930.0,0.0010565079401926873,0.0018997797057534777,0.00464376503509128,-0.0010553929092040903,0.7076497331488436
2016-06-22,31.59666633605957,31.85333251953125,31.483333587646484,31.520000457763672,918900,31.549999237060547,1377465.0,0.0014791473891449553,0.00812320454132088,0.0035868577782126776,-0.0024263913629522303,0.6670949897093574
2016-06-23,31.933332443237305,32.34333419799805,31.836666107177734,32.30666732788086,1099200,31.520000457763672,1344030.0,0.013113324221790271,0.012839303742869169,0.0030271296060753556,0.01169107187003334,0.817838887524832
2016-06-24,30.940000534057617,31.43666648864746,30.43666648864746,30.553333282470703,2657100,32.30666732788086,1336560.0,-0.042302933321871926,0.016052551584255212,0.016268068413770858,-0.012497325304221794,1.9880140061052254
