Date,Open,High,Low,Close,Volume,PrevClose,MA20_Volume,O_gap,H_up,L_down,C_move,V_ratio
2016-05-18,14.053000450134276,14.505000114440918,14.032999992370604,14.387999534606934,22620000,,,,0.03216392583993147,0.0014232161903531975,0.023838260424268124,
2016-05-19,14.303000450134276,14.465999603271484,14.112000465393066,14.27400016784668,17478000,14.387999534606934,,-0.005907637421603525,0.011396151017787222,0.013353840364272384,-0.0020275663409717384,
2016-05-20,14.413000106811523,14.767000198364258,14.371000289916992,14.67300033569336,25889000,14.27400016784668,,0.009737980757345945,0.024561166233908194,0.0029140232139929223,0.018039285849929393,
2016-05-23,14.819000244140623,15.034000396728516,14.788000106811523,14.8100004196167,17609000,14.67300033569336,,0.00995024228903657,0.014508411434361278,0.0020919182683296817,-0.000607316578423197,
2016-05-24,14.859999656677246,15.16800022125244,14.835000038146973,15.142000198364258,19907000,14.8100004196167,,0.0033760456207901253,0.020726821782717567,0.0016823431431938168,0.018977156675794173,
2016-05-25,15.184000015258787,15.399999618530272,15.048999786376951,15.357000350952148,21737000,15.142000198364258,,0.0027737297810276466,0.014225474384511386,0.008890952894242016,0.01139359427815521,
2016-05-26,15.376999855041504,15.425000190734863,15.182000160217283,15.302000045776367,18431000,15.357000350952148,,0.001302305374246832,0.0031215670251581607,0.01268125750552621,-0.004877401962161512,
2016-05-27,15.300000190734863,15.392999649047852,15.246000289916992,15.329999923706056,18693000,15.302000045776367,,-0.0001306923954725711,0.006078395892393874,0.0035294052382150633,0.0019607668364187312,
2016-05-31,15.399999618530272,15.494999885559082,15.329999923706056,15.435999870300291,32058000,15.329999923706056,,0.004566190161290793,0.0061688486611713896,0.004545434841439025,0.0023376787442709874,
2016-06-01,15.340999603271484,15.531999588012695,15.333999633789062,15.47700023651123,30777000,15.435999870300291,,-0.006154461507323055,0.012450295918166897,0.0004562916148520807,0.00886517415793061,
2016-06-02,15.520999908447266,15.552000045776367,15.33899974822998,15.491000175476074,46746000,15.47700023651123,,0.002842906975748254,0.0019973028485252304,0.011726058971125438,-0.0019328479574865615,
2016-06-03,16.57699966430664,16.600000381469727,16.1200008392334,16.256000518798828,82985000,15.491000175476074,,0.07010518859523486,0.001387507849964596,0.02756824722975929,-0.0193641281298318,
2016-06-06,16.34000015258789,16.393999099731445,16.101999282836914,16.284000396728516,34010000,16.256000518798828,,0.005167300141995155,0.003304709096652148,0.014565536568448719,-0.003427157609328779,
2016-06-07,16.333999633789062,16.594999313354492,16.2810001373291,16.483999252319336,32340000,16.284000396728516,,0.0030704517220837093,0.015978920375724567,0.0032447347647984754,0.009183275492426188,
2016-06-08,16.409000396728516,16.461999893188477,16.333999633789062,16.3700008392334,25620000,16.483999252319336,,-0.004549797318164025,0.003229904026970925,0.004570708826017587,-0.0023767174448293986,
2016-06-09,16.214000701904297,16.5049991607666,16.211999893188477,16.413999557495117,29143000,16.3700008392334,,-0.009529635267655063,0.017947356991795838,0.00012340006347633388,0.012334948003753997,
2016-06-10,16.216999053955078,16.29800033569336,16.0,16.082000732421875,26657000,16.413999557495117,,-0.012001980556291827,0.004994837914757495,0.013380962361353494,-0.00832449462962009,
2016-06-13,16.013999938964844,16.225000381469727,15.96399974822998,16.000999450683594,21568000,16.082000732421875,,-0.0042283789553584136,0.013175998707948167,0.0031222799378938506,-0.0008118201780192064,
2016-06-14,15.927000045776367,16.05299949645996,15.812999725341797,15.89900016784668,25669000,16.000999450683594,,-0.004624673923357029,0.007911059855682436,0.007157676907573169,-0.0017580133012627638,
2016-06-15,15.881999969482422,16.011999130249023,15.817999839782717,15.84000015258789,30884000,15.89900016784668,,-0.0010692621035779432,0.008185314256164056,0.004029727353147133,-0.002644491687144864,
