Date,Open,High,Low,Close,Volume,PrevClose,MA20_Volume,O_gap,H_up,L_down,C_move,V_ratio
2016-05-18,1.0499999523162842,1.096250057220459,1.0499999523162842,1.0839999914169312,541072000,,,,0.04404772095669887,0.0,0.03238099109018376,
2016-05-19,1.0797499418258667,1.096500039100647,1.0782500505447388,1.0887500047683716,398880000,1.0839999914169312,,-0.003920709985900532,0.015512941122697086,0.0013891098512972366,0.008335321534989571,
2016-05-20,1.0954999923706057,1.1127500534057615,1.09375,1.1082500219345093,391084000,1.0887500047683716,,0.0061997589645661115,0.015746290420164732,0.0015974371362785656,0.011638548290916166,
2016-05-23,1.1130000352859497,1.1172499656677246,1.1032500267028809,1.1100000143051147,413636000,1.1082500219345093,,0.004286048506589721,0.003818445864364253,0.00876011525063779,-0.0026954365550080164,
2016-05-24,1.1104999780654907,1.1375000476837158,1.1074999570846558,1.133999943733215,415788000,1.1100000143051147,,0.00045041779633576425,0.02431343552591479,0.0027015047637020642,0.021161608403326326,
2016-05-25,1.1375000476837158,1.1422499418258667,1.1202499866485596,1.1292500495910645,458076000,1.133999943733215,,0.0030865115733410874,0.004175730938933197,0.015164888186407061,-0.007252745271923976,
2016-05-26,1.131250023841858,1.149500012397766,1.128000020980835,1.1412500143051147,309964000,1.1292500495910645,,0.0017710641248301986,0.016132586228753285,0.0028729306453276864,0.00883977038895053,
2016-05-27,1.1425000429153442,1.149250030517578,1.1387499570846558,1.1475000381469729,277416000,1.1412500143051147,,0.0010953153073917905,0.005908085206727487,0.003282350713194981,0.004376363276862585,
2016-05-31,1.152500033378601,1.1705000400543213,1.1517499685287476,1.1679999828338623,412524000,1.1475000381469729,,0.0043572941746497715,0.015618226598182785,0.000650815469093454,0.013448979615056924,
2016-06-01,1.162500023841858,1.18149995803833,1.159000039100647,1.1702500581741333,387132000,1.1679999828338623,,-0.004708869069210179,0.016344029081118407,0.003010739500584356,0.006666696063078684,
2016-06-02,1.1764999628067017,1.1885000467300415,1.1649999618530271,1.178500056266785,329208000,1.1702500581741333,,0.005340657399598585,0.01019981666188242,0.009774756750726718,0.0017000369938913837,
2016-06-03,1.1670000553131104,1.1684999465942385,1.1414999961853027,1.1619999408721924,461076000,1.178500056266785,,-0.009758167504975669,0.001285253821796714,0.021850949373747767,-0.004284588006790128,
2016-06-06,1.1649999618530271,1.1740000247955322,1.149999976158142,1.156000018119812,322512000,1.1619999408721924,,0.0025817737809719125,0.007725376169274524,0.012875524623216584,-0.007725273843700362,
2016-06-07,1.162999987602234,1.1694999933242798,1.1577500104904177,1.1582499742507937,193400000,1.156000018119812,,0.006055336827595616,0.0055889989607366955,0.0045141678140859865,-0.004084276356041558,
2016-06-08,1.1584999561309814,1.162750005722046,1.1449999809265137,1.1545000076293943,234616000,1.1582499742507937,,0.00021582722706250468,0.0036685798463542947,0.011652978606536477,-0.003452696290939606,
2016-06-09,1.1505000591278076,1.1862499713897705,1.1480000019073486,1.184499979019165,472168000,1.1545000076293943,,-0.003464658705200039,0.03107336846993719,0.0021730178982817907,0.029552297387218485,
2016-06-10,1.1705000400543213,1.180999994277954,1.153499960899353,1.1549999713897705,400024000,1.184499979019165,,-0.01181928173307062,0.008970486001132922,0.0145237749450904,-0.013242262395677872,
2016-06-13,1.15625,1.1924999952316284,1.15625,1.1697499752044678,475588000,1.1549999713897705,,0.001082275879821345,0.03135134722735431,0.0,0.011675654230891046,
2016-06-14,1.1670000553131104,1.1775000095367432,1.1540000438690186,1.1720000505447388,298344000,1.1697499752044678,,-0.0023508612521036783,0.00899738965377824,0.011139683657173305,0.0042844858565896995,
